id,location_on_wall
H14,0.5566508017511292
H15,0.5551519209506492
H16,0.554138975705806
H17,0.5532235035932581
H18,0.5522913844295796
H19,0.5514399853649473
H20,0.5501857138536701
H21,0.5488056278300729
H22,0.5473755354931457
H23,0.5460385856719298
H24,0.5447543411093139
H25,0.5433241991418243
H26,0.5426003451470881
H27,0.5411509080991745
H28,0.5396553709930102
I1,0.5383989017435712
I2,0.5374187281240114
I3,0.536351849073862
I4,0.5353060723931494
I5,0.5336080762663958
I6,0.5319229817011712
I7,0.5303301862388126
I8,0.5289163126536078
I9,0.5281739019476446
I10,0.526930658866978
I11,0.5252282922544175
I12,0.5237277977308976
I13,0.5222324831189304
I14,0.5206878041744749
I15,0.5191825220797915
I16,0.5178330371163771
I17,0.5163389211172418
I18,0.5147850000281271
I19,0.5133945535890972
I20,0.511905610469906
I21,0.5104784604733571
I22,0.5091056520335253
I23,0.5076834290650507
I24,0.5066967567550101
I25,0.5050640370864188
I26,0.5034130602407771
I27,0.5020215185766461
I28,0.5004513593822261
J1,0.4988994059610247
J2,0.49746055032659375
J3,0.4962949411443457
J4,0.4950614283002608
J5,0.49357878925784593
J6,0.49221862132725297
J7,0.49071138363009587
J8,0.4895208224757188
J9,0.4881339174163323
J10,0.4867863522045637
J11,0.4853100916483817
J12,0.483881984545272
J13,0.48263170297812286
J14,0.4810352371005406
J15,0.47953273257007795
J16,0.4780183765817032
J17,0.4764864279329875
J18,0.475074563670761
J19,0.4743586805690232
J20,0.4736897394534351
J21,0.47294583258513323
J22,0.47157032906281665
J23,0.47023065927345314
J24,0.468746818080015
J25,0.4672132593069602
J26,0.46571276300433684
J27,0.4642068994164322
J28,0.4626911689827792
K1,0.45755836910041037
K2,0.4559575892778991
K3,0.4544583962903452
K4,0.45313969035214563
K5,0.45142766285194974
K6,0.449966013894022
K7,0.44843894215162594
K8,0.4468790628768072
K9,0.44591890835445896
K10,0.44450523874774195
K11,0.4430251241584917
K12,0.44159209331470717
K13,0.44126681464526957
K14,0.4405184868510747
K15,0.4398123299840119
K16,0.4384325078954152
K17,0.43732514192285626
K18,0.435992033160293
K19,0.43452454459759354
K20,0.43298563566232084
K21,0.4315514383204357
K22,0.43003689143218443
K23,0.4285458810069341
K24,0.42763433954577845
L1,0.4011795808574564
L2,0.40070540649366626
L3,0.4002885211521851
L4,0.3998680445401311
L5,0.3994616036808122
L6,0.3990491751196499
L7,0.39866245906348097
L8,0.39828758886201243
L9,0.39788467240547726
L10,0.3974787872906918
L11,0.397072726340625
L12,0.3966761148264836
L13,0.3962743656733086
L14,0.3959281345780042
L15,0.39553272850774734
L16,0.3950980431058769
L17,0.3946705364141854
L18,0.3942440595912904
L19,0.39381068753899734
L20,0.3933766383587131
L21,0.39163176622172663
L22,0.3911322835678446
L23,0.3906890477084475
L24,0.3902481866807159
L25,0.3898080136194454
