id,longitude,latitude,Elevation
D7,-1.927913575297456,55.00992510774177,0
D8,-1.929227786685012,55.01001513813788,0
D9,-1.930904748871916,55.01014394809534,0
D10,-1.93248659700069,55.01026174807561,0
D11,-1.93404773669097,55.01034678209359,0
D12,-1.935673759480454,55.01048515138951,0
D13,-1.93727224454184,55.01058975361998,0
D14,-1.938788093130451,55.01068202217775,0
E1,-1.994500373530753,55.01130932409327,0
E2,-1.997346486682059,55.01110101849368,0
E3,-2.000036714571966,55.01095304815684,0
E4,-2.002878835328047,55.01084774840712,0
E5,-2.005715708358424,55.01077986592664,0
E6,-2.008031019083547,55.01091779735863,0
E7,-2.010850077067826,55.01124877533285,0
E8,-2.013708613916553,55.01161840590332,0
E9,-2.016461207032103,55.01196627257466,0
E10,-2.018842448882535,55.0124798806692,0
E11,-2.021842082815828,55.01289141805079,0
E12,-2.024488304229911,55.01325320145135,0
E13,-2.027094236272506,55.01345344672856,0
E14,-2.030310905876833,55.01376233354198,0
E15,-2.033179340616297,55.01411268999878,0
E16,-2.035940805905353,55.01448110950732,0
E17,-2.03882323037661,55.01482334985982,0
E18,-2.041126838471727,55.01510093124117,0
F28,-2.23849323520806,55.03385098336217,0
F27,-2.237042839812504,55.03390832103179,0
F26,-2.235771707929992,55.03408057664695,0
F25,-2.234369933936331,55.03424717968984,0
F24,-2.232825569811178,55.03439786739577,0
F23,-2.231299247379324,55.03456829109451,0
F22,-2.229740825007304,55.03474008605998,0
F21,-2.228181627366425,55.03488582321364,0
F20,-2.226645475806649,55.03504391294936,0
F19,-2.225118826515615,55.03518508144854,0
F18,-2.220969159692324,55.03563507387167,0
F17,-2.218460099504358,55.03581614579289,0
F16,-2.215817733554752,55.03607660068612,0
F15,-2.214557803399196,55.03648519231973,0
F14,-2.213050155380788,55.03665259082582,0
F13,-2.211810762272335,55.03674716811396,0
F12,-2.210355496359879,55.03692962192499,0
F11,-2.209123929812425,55.03706078685073,0
F10,-2.207809831228516,55.03718301551447,0
F9,-2.206355098921341,55.03731169807232,0
F8,-2.204794020498952,55.03746008858186,0
F7,-2.203270074298219,55.03763390149567,0
F6,-2.201711673219426,55.03776579581664,0
F5,-2.20016695338669,55.03795236204681,0
F4,-2.199073886931281,55.0385955295282,0
F3,-2.198108205912232,55.03897436672482,0
F2,-2.196544562373163,55.0391542322309,0
F1,-2.19492877267967,55.03927936987987,0
G1,-2.24004744180618,55.03366109867902,0
G2,-2.241567369440003,55.03347596121156,0
G3,-2.243095809630875,55.03329261972388,0
G4,-2.244643260335371,55.03311611307219,0
G5,-2.246452628790114,55.03310558182511,0
G6,-2.247750157243366,55.03296470197273,0
G7,-2.249282156222372,55.03278285770765,0
G8,-2.250843405620315,55.03259980145705,0
G9,-2.25237652907993,55.03243020699707,0
G10,-2.253935288285281,55.03224669543258,0
G11,-2.255489551374953,55.03207608900036,0
G12,-2.257038854937246,55.03190125367133,0
G13,-2.258562044563155,55.03172648461995,0
G14,-2.260106065506975,55.03156143230832,0
G15,-2.261662147545098,55.03144803605517,0
G16,-2.263242347059238,55.03135277045706,0
G17,-2.264798974109477,55.03128161925504,0
G18,-2.267068293855414,55.03117905855556,0
G19,-2.268765782746385,55.031093419756,0
G20,-2.270340244767334,55.03091212468743,0
G21,-2.271917669438618,55.03068325235099,0
G22,-2.273482416703377,55.03041769398382,0
G23,-2.275079978114367,55.03010267900081,0
G24,-2.27658875709472,55.02983111456452,0
G25,-2.278083285343767,55.02959983021769,0
G26,-2.27954659906704,55.02947085906391,0
G27,-2.281177982692539,55.02939609900335,0
G28,-2.282802365798534,55.02931004904269,0
H1,-2.284329186147866,55.02922416061854,0
H2,-2.285984934064349,55.02908489798701,0
H3,-2.287721694787336,55.02896690833681,0
H4,-2.289281691569109,55.02885770526582,0
H5,-2.290823608901364,55.02866282907983,0
H6,-2.292854431553537,55.02833097624261,0
H7,-2.294920253774654,55.02794160928445,0
H8,-2.296193369026075,55.02727128474187,0
H9,-2.298298927997362,55.02654811727612,0
